K,p,h,L,model,beta,eta_Q,n_skus,total_cost,beta_fill_rate,service_level,order_count,stockout_days,inv_mean,inv_std,ordering_cost,holding_cost,backorder_cost,days_eff,demand_eff,demand_served,ordered_qty,receipts_qty,end_on_hand,end_backlog,avg_cost_per_sku_day,avg_cost_per_unit,holding_share,backorder_share,ordering_share
10,1,0.1,7,tree_cluster_regressor_hpo,0.8,1.0,500,1051.6189111726073,0.9567651826691368,0.9617153284671527,31.078,10.49,22.44939372295821,14.010508824722418,310.78,615.113388009055,125.72552316355345,274.0,1082.03,1016.3182528555969,1091.2715704609573,1086.5188250928354,23.815482284616106,0.44561773649508235,3.8380252232576932,0.971894412514078,0.6222221748464639,0.07132497319212297,0.3064528519614131
10,3,0.1,7,tree_cluster_regressor_hpo,0.8,1.2,500,1277.4492400796166,0.9629846993102694,0.9675401459854011,25.912,8.894,25.233771134412667,15.482049203082248,259.12,691.4053290829071,326.92391099670976,274.0,1082.03,1025.5534673211368,1091.5362212144846,1087.8135145918905,27.521621522768942,0.21743790689172937,4.662223503940207,1.1806042716741834,0.627352034434555,0.14292787662187928,0.22972008894356566
10,9,0.1,7,tree_cluster_regressor_hpo,0.94,1.2,500,1680.3252961225419,0.9848420649813662,0.9885693430656929,25.724,3.132,35.25203881950278,17.98125663951847,257.24,965.9058636543764,457.179432468166,274.0,1082.03,1059.3046684002495,1093.6019252761348,1089.7108326734,37.50435584137893,0.1569734025657212,6.132574073439933,1.5529378077525964,0.6977586105330671,0.11733671918419222,0.1849046702827407
50,1,0.1,7,tree_cluster_regressor_hpo,0.6,1.0,500,1729.8843511270836,0.9578949392837494,0.9611678832116793,13.914,10.64,33.38887434457869,21.690355103858717,695.7,914.8551570414566,119.32919408562766,274.0,1082.03,1017.668811369052,1093.9068639490658,1089.162390397272,35.10954012705004,0.14617127265885482,6.313446536960162,1.5987397309936728,0.560170090846066,0.04484647013793865,0.39498343901599525
50,3,0.1,7,tree_cluster_regressor_hpo,0.6,1.1,500,1957.2843986390499,0.9604202920994505,0.9637591240875908,12.672,9.93,36.05983932341218,23.158674033861775,633.6,988.0395974614922,335.64480117755755,274.0,1082.03,1022.1109797007367,1095.0826648956952,1089.3630240918458,37.35287077726655,0.28182658834867474,7.143373717660769,1.8089003064970937,0.560870343905491,0.10482946470673059,0.33430019138777844
50,9,0.1,7,tree_cluster_regressor_hpo,0.88,1.1,500,2277.0240036594255,0.9875734955039631,0.9895620437956193,12.576,2.86,47.00159377503187,25.662661454300927,628.8,1287.843669435874,360.38033422355244,274.0,1082.03,1062.5566940836213,1096.8971531281986,1092.4735209684036,49.21623328429782,0.13346257863646607,8.310306582698637,2.1044000662268387,0.6271939811248158,0.08028228333993784,0.29252373553524624
100,1,0.1,7,tree_cluster_regressor_hpo,0.6,0.9,500,2336.225519540509,0.9675683129126418,0.9691094890510938,10.912,8.464,41.93565627136492,26.348973022116187,1091.2,1149.0369818353993,95.98853770510978,274.0,1082.03,1031.2949119949885,1093.744755621596,1091.4572666411352,43.78151045628544,0.217946303265315,8.526370509271931,2.1591134437497193,0.519962712772487,0.027081075879673806,0.4529562113478392
100,3,0.1,7,tree_cluster_regressor_hpo,0.6,1.0,500,2497.8897691469215,0.9697401826133412,0.971671532846714,9.852,7.762,45.61861089392122,28.497178253139857,985.2,1249.9499384934416,262.7398306534793,274.0,1082.03,1035.596095758937,1095.2241674032814,1089.4721245669646,46.92316126829298,0.31259574032440485,9.116386018784384,2.308521731511068,0.5404208196641307,0.06608163737991311,0.39349754295595607
100,9,0.1,7,tree_cluster_regressor_hpo,0.88,1.0,500,2872.2222253702857,0.9902908795554387,0.9916788321167871,9.772,2.28,57.850607922886894,31.511903006574734,977.2,1585.1066570871014,309.9155682831849,274.0,1082.03,1066.0172058188468,1098.667639409131,1096.2905809446459,59.39850564264516,0.09975743053548967,10.482562866314913,2.6544755925161834,0.5969449936392806,0.05723389546068377,0.34582111090003564
